Date,Claims
1/3/1987,20457
1/10/1987,31690
1/17/1987,20426
1/24/1987,21266
1/31/1987,18933
2/7/1987,16430
2/14/1987,13697
2/21/1987,12066
2/28/1987,13920
3/7/1987,15867
3/14/1987,12387
3/21/1987,11212
3/28/1987,12771
4/4/1987,14003
4/11/1987,13595
4/18/1987,10594
4/25/1987,9737
5/2/1987,12280
5/9/1987,11692
5/16/1987,9818
5/23/1987,10325
5/30/1987,9019
6/6/1987,12478
6/13/1987,11458
6/20/1987,12712
6/27/1987,12159
7/4/1987,12487
7/11/1987,16249
7/18/1987,15335
7/25/1987,19756
8/1/1987,13957
8/8/1987,17111
8/15/1987,12300
8/22/1987,10190
8/29/1987,9671
9/5/1987,12755
9/12/1987,9047
9/19/1987,9605
9/26/1987,9609
10/3/1987,9428
10/10/1987,10202
10/17/1987,8858
10/24/1987,11103
10/31/1987,11831
11/7/1987,13004
11/14/1987,14161
11/21/1987,14543
11/28/1987,13016
12/5/1987,16968
12/12/1987,17581
12/19/1987,17368
12/26/1987,18348
1/2/1988,15362
1/9/1988,29448
1/16/1988,20939
1/23/1988,16083
1/30/1988,14910
2/6/1988,14403
2/13/1988,13108
2/20/1988,10988
2/27/1988,11700
3/5/1988,12252
3/12/1988,10404
3/19/1988,9451
3/26/1988,8921
4/2/1988,8731
4/9/1988,9460
4/16/1988,8926
4/23/1988,8386
4/30/1988,8458
5/7/1988,9007
5/14/1988,7993
5/21/1988,8292
5/28/1988,9379
6/4/1988,7952
6/11/1988,8989
6/18/1988,8910
6/25/1988,8506
7/2/1988,8713
7/9/1988,12976
7/16/1988,12615
7/23/1988,13922
7/30/1988,12542
8/6/1988,13725
8/13/1988,10915
8/20/1988,10350
8/27/1988,8539
9/3/1988,9481
9/10/1988,7824
9/17/1988,7937
9/24/1988,7960
10/1/1988,8328
10/8/1988,12413
10/15/1988,7100
10/22/1988,10783
10/29/1988,10093
11/5/1988,10791
11/12/1988,10042
11/19/1988,12707
11/26/1988,13235
12/3/1988,14910
12/10/1988,14239
12/17/1988,16235
12/24/1988,17879
12/31/1988,15569
1/7/1989,20437
1/14/1989,21187
1/21/1989,13482
1/28/1989,13599
2/4/1989,13082
2/11/1989,13267
2/18/1989,11420
2/25/1989,9405
3/4/1989,10110
3/11/1989,10552
3/18/1989,8908
3/25/1989,9075
4/1/1989,7939
4/8/1989,11043
4/15/1989,8724
4/22/1989,8480
4/29/1989,6646
5/6/1989,11419
5/13/1989,10132
5/20/1989,8856
5/27/1989,8776
6/3/1989,8320
6/10/1989,10155
6/17/1989,11062
6/24/1989,9763
7/1/1989,9986
7/8/1989,14872
7/15/1989,16307
7/22/1989,15060
7/29/1989,12307
8/5/1989,12984
8/12/1989,10479
8/19/1989,9124
8/26/1989,10426
9/2/1989,11910
9/9/1989,11910
9/16/1989,11085
9/23/1989,9793
9/30/1989,9056
10/7/1989,17337
10/14/1989,9302
10/21/1989,11757
10/28/1989,12216
11/4/1989,14219
11/11/1989,15503
11/18/1989,18651
11/25/1989,17061
12/2/1989,19199
12/9/1989,21708
12/16/1989,19286
12/23/1989,31049
12/30/1989,23575
1/6/1990,25726
1/13/1990,37188
1/20/1990,24030
1/27/1990,21669
2/3/1990,21599
2/10/1990,20784
2/17/1990,18960
2/24/1990,13373
3/3/1990,15635
3/10/1990,12015
3/17/1990,9980
3/24/1990,8541
3/31/1990,9021
4/7/1990,13634
4/14/1990,15448
4/21/1990,9866
4/28/1990,8823
5/5/1990,10109
5/12/1990,11107
5/19/1990,8851
5/26/1990,8189
6/2/1990,8686
6/9/1990,9725
6/16/1990,8844
6/23/1990,8539
6/30/1990,8404
7/7/1990,11617
7/14/1990,17629
7/21/1990,15978
7/28/1990,15065
8/4/1990,11909
8/11/1990,12404
8/18/1990,12404
8/25/1990,10465
9/1/1990,11500
9/8/1990,10074
9/15/1990,13673
9/22/1990,9815
9/29/1990,14006
10/6/1990,12051
10/13/1990,13416
10/20/1990,14908
10/27/1990,18761
11/3/1990,16839
11/10/1990,18397
11/17/1990,19623
11/24/1990,22636
12/1/1990,25711
12/8/1990,30782
12/15/1990,24834
12/22/1990,30778
12/29/1990,32686
1/5/1991,34583
1/12/1991,41392
1/19/1991,31475
1/26/1991,23606
2/2/1991,23875
2/9/1991,24779
2/16/1991,25527
2/23/1991,25090
3/2/1991,23194
3/9/1991,22817
3/16/1991,19213
3/23/1991,24760
3/30/1991,16350
4/6/1991,16077
4/13/1991,14885
4/20/1991,21270
4/27/1991,15197
5/4/1991,14229
5/11/1991,12663
5/18/1991,18162
5/25/1991,13965
6/1/1991,13028
6/8/1991,13125
6/15/1991,11856
6/22/1991,12577
6/29/1991,11290
7/6/1991,13318
7/13/1991,15263
7/20/1991,15956
7/27/1991,15943
8/3/1991,16656
8/10/1991,20257
8/17/1991,17027
8/24/1991,12340
8/31/1991,10935
9/7/1991,11932
9/14/1991,10531
9/21/1991,13804
9/28/1991,12628
10/5/1991,13327
10/12/1991,12264
10/19/1991,14472
10/26/1991,14058
11/2/1991,15085
11/9/1991,17762
11/16/1991,18689
11/23/1991,22121
11/30/1991,19865
12/7/1991,30269
12/14/1991,25986
12/21/1991,25885
12/28/1991,25592
1/4/1992,30333
1/11/1992,35994
1/18/1992,32138
1/25/1992,22569
2/1/1992,19190
2/8/1992,23234
2/15/1992,19757
2/22/1992,15490
2/29/1992,15935
3/7/1992,14619
3/14/1992,14943
3/21/1992,15776
3/28/1992,11701
4/4/1992,13641
4/11/1992,14997
4/18/1992,11319
4/25/1992,11538
5/2/1992,11214
5/9/1992,14776
5/16/1992,10213
5/23/1992,10040
5/30/1992,11049
6/6/1992,12968
6/13/1992,11767
6/20/1992,11324
6/27/1992,10530
7/4/1992,13173
7/11/1992,16376
7/18/1992,15914
7/25/1992,49321
8/1/1992,14795
8/8/1992,13554
8/15/1992,11673
8/22/1992,11684
8/29/1992,10229
9/5/1992,17735
9/12/1992,12229
9/19/1992,10115
9/26/1992,10346
10/3/1992,10665
10/10/1992,12346
10/17/1992,10721
10/24/1992,15082
10/31/1992,12168
11/7/1992,16035
11/14/1992,15877
11/21/1992,13675
11/28/1992,12702
12/5/1992,16216
12/12/1992,18553
12/19/1992,14518
12/26/1992,15840
1/2/1993,16684
1/9/1993,27043
1/16/1993,22322
1/23/1993,12950
1/30/1993,12454
2/6/1993,11824
2/13/1993,9956
2/20/1993,10398
2/27/1993,11578
3/6/1993,11515
3/13/1993,10165
3/20/1993,10054
3/27/1993,7478
4/3/1993,10819
4/10/1993,9660
4/17/1993,8844
4/24/1993,9686
5/1/1993,7943
5/8/1993,10255
5/15/1993,8089
5/22/1993,8175
5/29/1993,8111
6/5/1993,8915
6/12/1993,9024
6/19/1993,9323
6/26/1993,8323
7/3/1993,9726
7/10/1993,9951
7/17/1993,11503
7/24/1993,23475
7/31/1993,11477
8/7/1993,10090
8/14/1993,7694
8/21/1993,7585
8/28/1993,7065
9/4/1993,8078
9/11/1993,8222
9/18/1993,7768
9/25/1993,7124
10/2/1993,7436
10/9/1993,10731
10/16/1993,8327
10/23/1993,9450
10/30/1993,9294
11/6/1993,14584
11/13/1993,9743
11/20/1993,12464
11/27/1993,10537
12/4/1993,13469
12/11/1993,15765
12/18/1993,13215
12/25/1993,17997
1/1/1994,18391
1/8/1994,25174
1/15/1994,19682
1/22/1994,15699
1/29/1994,14473
2/5/1994,13438
2/12/1994,10784
2/19/1994,11320
2/26/1994,8912
3/5/1994,13249
3/12/1994,9239
3/19/1994,8334
3/26/1994,8366
4/2/1994,8388
4/9/1994,11196
4/16/1994,10070
4/23/1994,8310
4/30/1994,7469
5/7/1994,10319
5/14/1994,8163
5/21/1994,7899
5/28/1994,7919
6/4/1994,8259
6/11/1994,9127
6/18/1994,8693
6/25/1994,7611
7/2/1994,8602
7/9/1994,10993
7/16/1994,17543
7/23/1994,13328
7/30/1994,9617
8/6/1994,8078
8/13/1994,7778
8/20/1994,7033
8/27/1994,7248
9/3/1994,8997
9/10/1994,6370
9/17/1994,6616
9/24/1994,6352
10/1/1994,6584
10/8/1994,8733
10/15/1994,6743
10/22/1994,7597
