State, GDP
CT, 288985
ME, 68441
MA, 604208
NH, 89836
RI, 64441
VT, 35271
DE, 76410
DC, 148231
MD, 434312
NJ, 652412
NY, 1751674
PA, 824603
IL, 908913
IN, 381733
MI, 548567
OH, 706764
WI, 351922
IA, 197172
KS, 175703
MN, 385907
MO, 336816
NE, 129098
ND, 57400
SD, 54057
AL, 234054
AR, 135225
FL, 1111378
GA, 625329
KY, 217564
LA, 267051
MS, 120429
NC, 596383
SC, 249958
TN, 385741
VA, 561846
WV, 78507
AZ, 372522
NM, 105263
OK, 207381
TX, 1918065
CO, 396367
ID, 82265
MT, 52948
UT, 192013
WY, 39794
AK, 55759
CA, 3183251
HI, 98536
NV, 180406
OR, 255418
WA, 610488
